,obstime,Relative Humidity in %,qcscore
16,2024-01-01T00:00:00,74.5,G
42,2024-01-01T01:00:00,76.6,G
68,2024-01-01T02:00:00,80.8,G
94,2024-01-01T03:00:00,81.5,G
120,2024-01-01T04:00:00,78.0,G
146,2024-01-01T05:00:00,77.4,G
172,2024-01-01T06:00:00,77.3,G
198,2024-01-01T07:00:00,77.2,G
224,2024-01-01T08:00:00,77.6,G
250,2024-01-01T09:00:00,80.6,G
276,2024-01-01T10:00:00,80.3,G
302,2024-01-01T11:00:00,78.5,G
328,2024-01-01T12:00:00,75.0,G
354,2024-01-01T13:00:00,73.9,G
380,2024-01-01T14:00:00,72.8,G
406,2024-01-01T15:00:00,73.0,G
432,2024-01-01T16:00:00,74.6,G
457,2024-01-01T17:00:00,76.6,G
482,2024-01-01T18:00:00,80.4,G
507,2024-01-01T19:00:00,84.0,G
532,2024-01-01T20:00:00,85.0,G
557,2024-01-01T21:00:00,85.4,G
581,2024-01-01T22:00:00,85.0,G
605,2024-01-01T23:00:00,85.0,G
629,2024-01-02T00:00:00,84.8,G
653,2024-01-02T01:00:00,84.8,G
677,2024-01-02T02:00:00,84.0,G
701,2024-01-02T03:00:00,84.2,G
725,2024-01-02T04:00:00,85.0,G
749,2024-01-02T05:00:00,85.2,G
773,2024-01-02T06:00:00,85.0,G
797,2024-01-02T07:00:00,84.2,G
822,2024-01-02T08:00:00,83.4,G
848,2024-01-02T09:00:00,82.2,G
874,2024-01-02T10:00:00,81.7,G
899,2024-01-02T11:00:00,80.2,G
924,2024-01-02T12:00:00,79.6,G
948,2024-01-02T13:00:00,78.8,G
973,2024-01-02T14:00:00,78.0,G
998,2024-01-02T15:00:00,76.5,G
1023,2024-01-02T16:00:00,74.8,G
1048,2024-01-02T17:00:00,75.5,G
1073,2024-01-02T18:00:00,78.9,G
1098,2024-01-02T19:00:00,80.1,G
1123,2024-01-02T20:00:00,81.2,G
1148,2024-01-02T21:00:00,83.1,G
1173,2024-01-02T22:00:00,85.3,G
1198,2024-01-02T23:00:00,87.7,G
1223,2024-01-03T00:00:00,87.9,G
1248,2024-01-03T01:00:00,88.1,G
1273,2024-01-03T02:00:00,85.6,G
1298,2024-01-03T03:00:00,85.2,G
1323,2024-01-03T04:00:00,85.5,G
1348,2024-01-03T05:00:00,85.5,G
1373,2024-01-03T06:00:00,82.0,G
1398,2024-01-03T07:00:00,82.5,G
1423,2024-01-03T08:00:00,83.9,G
1448,2024-01-03T09:00:00,85.4,G
1474,2024-01-03T10:00:00,81.4,G
1500,2024-01-03T11:00:00,76.2,G
1526,2024-01-03T12:00:00,70.8,G
1552,2024-01-03T13:00:00,67.6,G
1578,2024-01-03T14:00:00,65.2,G
1604,2024-01-03T15:00:00,62.5,G
1630,2024-01-03T16:00:00,61.2,G
1656,2024-01-03T17:00:00,59.8,G
1682,2024-01-03T18:00:00,59.8,G
1708,2024-01-03T19:00:00,59.5,G
1734,2024-01-03T20:00:00,62.4,G
1760,2024-01-03T21:00:00,64.9,G
1786,2024-01-03T22:00:00,65.8,G
1812,2024-01-03T23:00:00,67.7,G
1838,2024-01-04T00:00:00,69.0,G
1864,2024-01-04T01:00:00,68.2,G
1890,2024-01-04T02:00:00,67.8,G
1916,2024-01-04T03:00:00,69.2,G
1942,2024-01-04T04:00:00,70.9,G
1968,2024-01-04T05:00:00,72.0,G
1994,2024-01-04T06:00:00,73.5,G
2021,2024-01-04T07:00:00,75.1,G
2048,2024-01-04T08:00:00,76.7,G
2075,2024-01-04T09:00:00,76.6,G
2102,2024-01-04T10:00:00,74.6,G
2128,2024-01-04T11:00:00,73.2,G
2154,2024-01-04T12:00:00,72.0,G
2180,2024-01-04T13:00:00,69.5,G
2205,2024-01-04T14:00:00,68.6,G
2231,2024-01-04T15:00:00,67.4,G
2257,2024-01-04T16:00:00,68.0,G
2283,2024-01-04T17:00:00,69.2,G
2309,2024-01-04T18:00:00,71.5,G
2335,2024-01-04T19:00:00,76.2,G
2361,2024-01-04T20:00:00,78.4,G
2387,2024-01-04T21:00:00,80.3,G
2413,2024-01-04T22:00:00,81.0,G
2440,2024-01-04T23:00:00,82.0,G
2467,2024-01-05T00:00:00,81.5,G
2493,2024-01-05T01:00:00,82.2,G
2519,2024-01-05T02:00:00,84.8,G
2545,2024-01-05T03:00:00,87.2,G
2571,2024-01-05T04:00:00,88.0,G
2597,2024-01-05T05:00:00,88.6,G
2623,2024-01-05T06:00:00,88.0,G
2649,2024-01-05T07:00:00,87.7,G
2675,2024-01-05T08:00:00,85.6,G
2701,2024-01-05T09:00:00,83.2,G
2727,2024-01-05T10:00:00,77.3,G
2754,2024-01-05T11:00:00,73.5,G
2781,2024-01-05T12:00:00,71.2,G
2808,2024-01-05T13:00:00,69.9,G
2835,2024-01-05T14:00:00,68.5,G
2862,2024-01-05T15:00:00,69.6,G
2889,2024-01-05T16:00:00,71.2,G
2916,2024-01-05T17:00:00,74.1,G
2943,2024-01-05T18:00:00,79.1,G
2970,2024-01-05T19:00:00,83.8,G
2997,2024-01-05T20:00:00,85.1,G
3024,2024-01-05T21:00:00,86.9,G
3051,2024-01-05T22:00:00,89.0,G
3078,2024-01-05T23:00:00,90.7,M
3105,2024-01-06T00:00:00,90.0,M
3132,2024-01-06T01:00:00,90.9,G
3159,2024-01-06T02:00:00,91.0,G
3186,2024-01-06T03:00:00,90.6,G
3212,2024-01-06T04:00:00,89.9,G
3238,2024-01-06T05:00:00,89.2,G
3264,2024-01-06T06:00:00,90.0,G
3290,2024-01-06T07:00:00,90.0,G
3317,2024-01-06T08:00:00,90.9,G
3344,2024-01-06T09:00:00,89.9,G
3371,2024-01-06T10:00:00,84.8,G
3398,2024-01-06T11:00:00,74.0,G
3425,2024-01-06T12:00:00,67.8,G
3452,2024-01-06T13:00:00,70.0,G
3479,2024-01-06T14:00:00,71.0,G
3506,2024-01-06T15:00:00,73.9,G
3532,2024-01-06T16:00:00,74.8,G
3559,2024-01-06T17:00:00,76.2,G
3586,2024-01-06T18:00:00,80.1,G
3613,2024-01-06T19:00:00,83.2,G
3640,2024-01-06T20:00:00,85.5,G
3667,2024-01-06T21:00:00,86.3,G
3694,2024-01-06T22:00:00,86.0,G
3721,2024-01-06T23:00:00,83.6,G
3748,2024-01-07T00:00:00,81.3,G
3775,2024-01-07T01:00:00,84.0,G
3802,2024-01-07T02:00:00,85.6,G
3829,2024-01-07T03:00:00,85.9,G
3856,2024-01-07T04:00:00,87.2,G
3883,2024-01-07T05:00:00,80.0,G
3909,2024-01-07T06:00:00,78.0,G
3935,2024-01-07T07:00:00,79.4,G
3961,2024-01-07T08:00:00,80.6,G
3987,2024-01-07T09:00:00,71.8,G
4013,2024-01-07T10:00:00,68.5,G
4039,2024-01-07T11:00:00,67.1,G
4065,2024-01-07T12:00:00,67.3,G
4091,2024-01-07T13:00:00,67.2,G
4117,2024-01-07T14:00:00,65.7,G
4143,2024-01-07T15:00:00,67.7,G
4169,2024-01-07T16:00:00,69.5,G
4195,2024-01-07T17:00:00,71.0,G
4221,2024-01-07T18:00:00,76.1,G
4247,2024-01-07T19:00:00,80.0,G
4273,2024-01-07T20:00:00,81.7,G
4299,2024-01-07T21:00:00,82.5,G
4325,2024-01-07T22:00:00,82.0,G
4351,2024-01-07T23:00:00,82.0,G
4377,2024-01-08T00:00:00,82.8,G
4403,2024-01-08T01:00:00,83.5,G
4429,2024-01-08T02:00:00,84.8,G
4455,2024-01-08T03:00:00,84.9,G
4481,2024-01-08T04:00:00,84.2,G
4507,2024-01-08T05:00:00,82.3,G
4533,2024-01-08T06:00:00,80.5,G
4559,2024-01-08T07:00:00,78.6,G
4585,2024-01-08T08:00:00,78.2,G
4611,2024-01-08T09:00:00,80.0,G
4637,2024-01-08T10:00:00,77.4,G
4663,2024-01-08T11:00:00,75.0,G
4689,2024-01-08T12:00:00,75.2,G
4715,2024-01-08T13:00:00,72.9,G
4741,2024-01-08T14:00:00,73.1,G
4767,2024-01-08T15:00:00,73.7,G
4793,2024-01-08T16:00:00,76.4,G
4819,2024-01-08T17:00:00,78.0,G
4845,2024-01-08T18:00:00,78.3,G
4871,2024-01-08T19:00:00,77.0,G
4897,2024-01-08T20:00:00,76.9,G
4923,2024-01-08T21:00:00,77.8,G
4949,2024-01-08T22:00:00,78.5,G
4975,2024-01-08T23:00:00,79.2,G
5001,2024-01-09T00:00:00,80.3,G
5027,2024-01-09T01:00:00,83.0,G
5053,2024-01-09T02:00:00,84.5,G
5079,2024-01-09T03:00:00,85.7,G
5105,2024-01-09T04:00:00,83.6,G
5131,2024-01-09T05:00:00,82.5,G
5157,2024-01-09T06:00:00,83.5,G
5183,2024-01-09T07:00:00,84.9,G
5209,2024-01-09T08:00:00,83.5,G
5235,2024-01-09T09:00:00,83.1,G
5261,2024-01-09T10:00:00,83.3,G
5287,2024-01-09T11:00:00,78.6,G
5313,2024-01-09T12:00:00,76.3,G
5339,2024-01-09T13:00:00,74.7,G
5365,2024-01-09T14:00:00,73.5,G
5391,2024-01-09T15:00:00,77.0,G
5417,2024-01-09T16:00:00,77.0,G
5443,2024-01-09T17:00:00,79.2,G
5469,2024-01-09T18:00:00,83.5,G
5495,2024-01-09T19:00:00,85.8,G
5521,2024-01-09T20:00:00,88.4,G
5547,2024-01-09T21:00:00,88.4,G
5573,2024-01-09T22:00:00,87.2,G
5599,2024-01-09T23:00:00,87.7,G
5625,2024-01-10T00:00:00,87.9,G
5651,2024-01-10T01:00:00,88.2,G
5677,2024-01-10T02:00:00,85.7,G
5703,2024-01-10T03:00:00,86.1,G
5729,2024-01-10T04:00:00,86.2,G
5755,2024-01-10T05:00:00,85.0,G
5781,2024-01-10T06:00:00,85.0,G
5807,2024-01-10T07:00:00,84.8,G
5833,2024-01-10T08:00:00,83.0,G
5859,2024-01-10T09:00:00,79.3,G
5885,2024-01-10T10:00:00,74.4,G
11175,2024-01-19T19:00:00,84.4,G
11202,2024-01-19T20:00:00,87.7,G
11228,2024-01-19T21:00:00,88.7,G
11254,2024-01-19T22:00:00,88.4,G
11280,2024-01-19T23:00:00,89.3,G
11306,2024-01-20T00:00:00,90.3,G
11333,2024-01-20T01:00:00,91.0,G
11360,2024-01-20T02:00:00,91.8,G
11387,2024-01-20T03:00:00,91.0,G
11414,2024-01-20T04:00:00,89.4,G
11441,2024-01-20T05:00:00,89.8,G
11468,2024-01-20T06:00:00,89.7,G
11495,2024-01-20T07:00:00,91.0,G
11522,2024-01-20T08:00:00,91.4,G
11549,2024-01-20T09:00:00,90.8,G
11576,2024-01-20T10:00:00,86.9,G
11603,2024-01-20T11:00:00,79.4,G
11630,2024-01-20T12:00:00,75.8,G
11657,2024-01-20T13:00:00,76.8,G
11684,2024-01-20T14:00:00,75.9,G
11711,2024-01-20T15:00:00,75.2,G
11738,2024-01-20T16:00:00,72.4,G
11765,2024-01-20T17:00:00,69.5,G
11792,2024-01-20T18:00:00,72.7,G
11819,2024-01-20T19:00:00,74.4,G
11846,2024-01-20T20:00:00,74.8,G
11873,2024-01-20T21:00:00,72.9,G
11900,2024-01-20T22:00:00,70.2,G
11927,2024-01-20T23:00:00,68.0,G
11954,2024-01-21T00:00:00,68.5,G
11981,2024-01-21T01:00:00,70.7,G
12008,2024-01-21T02:00:00,69.6,G
12035,2024-01-21T03:00:00,70.9,G
12062,2024-01-21T04:00:00,73.9,G
12089,2024-01-21T05:00:00,75.5,G
12116,2024-01-21T06:00:00,75.8,G
12143,2024-01-21T07:00:00,77.6,G
12170,2024-01-21T08:00:00,78.8,G
12197,2024-01-21T09:00:00,77.4,G
12224,2024-01-21T10:00:00,74.5,G
12251,2024-01-21T11:00:00,72.0,G
12278,2024-01-21T12:00:00,70.3,G
12305,2024-01-21T13:00:00,71.0,G
12332,2024-01-21T14:00:00,71.9,G
12359,2024-01-21T15:00:00,71.0,G
12386,2024-01-21T16:00:00,69.8,G
12413,2024-01-21T17:00:00,70.2,G
12440,2024-01-21T18:00:00,71.7,G
12467,2024-01-21T19:00:00,72.0,G
12494,2024-01-21T20:00:00,74.9,G
12521,2024-01-21T21:00:00,78.8,G
12548,2024-01-21T22:00:00,81.0,G
12575,2024-01-21T23:00:00,82.7,G
12602,2024-01-22T00:00:00,88.4,G
12629,2024-01-22T01:00:00,91.5,G
12656,2024-01-22T02:00:00,92.6,G
12683,2024-01-22T03:00:00,92.1,G
12710,2024-01-22T04:00:00,89.9,G
12737,2024-01-22T05:00:00,88.8,G
12764,2024-01-22T06:00:00,87.3,G
12791,2024-01-22T07:00:00,86.5,G
12818,2024-01-22T08:00:00,86.1,G
12845,2024-01-22T09:00:00,82.8,G
12871,2024-01-22T10:00:00,81.0,G
12897,2024-01-22T11:00:00,79.4,G
12924,2024-01-22T12:00:00,78.8,G
12951,2024-01-22T13:00:00,78.1,G
12978,2024-01-22T14:00:00,77.0,G
13005,2024-01-22T15:00:00,75.7,G
13032,2024-01-22T16:00:00,74.5,G
13059,2024-01-22T17:00:00,74.0,G
13087,2024-01-22T18:00:00,73.4,G
13115,2024-01-22T19:00:00,73.0,G
13143,2024-01-22T20:00:00,73.7,G
13171,2024-01-22T21:00:00,74.9,G
13199,2024-01-22T22:00:00,78.2,G
13227,2024-01-22T23:00:00,75.7,G
13255,2024-01-23T00:00:00,76.3,G
13283,2024-01-23T01:00:00,76.6,G
13311,2024-01-23T02:00:00,80.0,G
13339,2024-01-23T03:00:00,84.2,G
13367,2024-01-23T04:00:00,87.4,G
13395,2024-01-23T05:00:00,87.2,G
13422,2024-01-23T06:00:00,83.4,G
13449,2024-01-23T07:00:00,85.8,G
13476,2024-01-23T08:00:00,87.3,G
13503,2024-01-23T09:00:00,86.0,G
13530,2024-01-23T10:00:00,85.7,G
13558,2024-01-23T11:00:00,84.8,G
13586,2024-01-23T12:00:00,84.2,G
13614,2024-01-23T13:00:00,83.2,G
13642,2024-01-23T14:00:00,80.0,G
13670,2024-01-23T15:00:00,74.3,G
13698,2024-01-23T16:00:00,70.9,G
13727,2024-01-23T17:00:00,69.1,G
13756,2024-01-23T18:00:00,68.6,G
13785,2024-01-23T19:00:00,68.1,G
13814,2024-01-23T20:00:00,68.6,G
13843,2024-01-23T21:00:00,68.5,G
13872,2024-01-23T22:00:00,68.7,G
13901,2024-01-23T23:00:00,70.2,G
13930,2024-01-24T00:00:00,70.9,G
13959,2024-01-24T01:00:00,69.7,G
13988,2024-01-24T02:00:00,70.0,G
14017,2024-01-24T03:00:00,71.2,G
14045,2024-01-24T04:00:00,71.0,G
14073,2024-01-24T05:00:00,70.6,G
14101,2024-01-24T06:00:00,71.4,G
14130,2024-01-24T07:00:00,72.9,G
14159,2024-01-24T08:00:00,73.8,G
14188,2024-01-24T09:00:00,73.3,G
14217,2024-01-24T10:00:00,71.3,G
14246,2024-01-24T11:00:00,68.2,G
14275,2024-01-24T12:00:00,66.7,G
14304,2024-01-24T13:00:00,64.2,G
14333,2024-01-24T14:00:00,62.3,G
14362,2024-01-24T15:00:00,59.9,G
14391,2024-01-24T16:00:00,58.3,G
14420,2024-01-24T17:00:00,59.8,G
14449,2024-01-24T18:00:00,61.4,G
14478,2024-01-24T19:00:00,62.2,G
14507,2024-01-24T20:00:00,62.0,G
14536,2024-01-24T21:00:00,62.3,G
14565,2024-01-24T22:00:00,63.9,G
14594,2024-01-24T23:00:00,64.2,G
14623,2024-01-25T00:00:00,63.8,G
14652,2024-01-25T01:00:00,64.0,G
14681,2024-01-25T02:00:00,64.0,G
14710,2024-01-25T03:00:00,64.0,G
14739,2024-01-25T04:00:00,64.0,G
14768,2024-01-25T05:00:00,63.5,G
14796,2024-01-25T06:00:00,64.0,G
14824,2024-01-25T07:00:00,63.2,G
14852,2024-01-25T08:00:00,63.9,G
14880,2024-01-25T09:00:00,65.2,G
14908,2024-01-25T10:00:00,64.8,G
14936,2024-01-25T11:00:00,65.5,G
14964,2024-01-25T12:00:00,63.5,G
14992,2024-01-25T13:00:00,62.4,G
15020,2024-01-25T14:00:00,60.3,G
15048,2024-01-25T15:00:00,59.2,G
15076,2024-01-25T16:00:00,59.4,G
15104,2024-01-25T17:00:00,58.9,G
15131,2024-01-25T18:00:00,58.0,G
15158,2024-01-25T19:00:00,59.4,G
15185,2024-01-25T20:00:00,60.0,G
15212,2024-01-25T21:00:00,58.4,G
15239,2024-01-25T22:00:00,59.4,G
15266,2024-01-25T23:00:00,61.6,G
15293,2024-01-26T00:00:00,63.2,G
15320,2024-01-26T01:00:00,64.2,G
15347,2024-01-26T02:00:00,67.4,G
15374,2024-01-26T03:00:00,68.0,G
15401,2024-01-26T04:00:00,68.0,G
15428,2024-01-26T05:00:00,69.7,G
15455,2024-01-26T06:00:00,71.6,G
15482,2024-01-26T07:00:00,72.8,G
15510,2024-01-26T08:00:00,73.2,G
15537,2024-01-26T09:00:00,70.2,G
15564,2024-01-26T10:00:00,68.3,G
15592,2024-01-26T11:00:00,67.1,G
15620,2024-01-26T12:00:00,66.3,G
15648,2024-01-26T13:00:00,66.8,G
15676,2024-01-26T14:00:00,67.1,G
15704,2024-01-26T15:00:00,64.8,G
15731,2024-01-26T16:00:00,66.2,G
15758,2024-01-26T17:00:00,65.4,G
15785,2024-01-26T18:00:00,65.4,G
15812,2024-01-26T19:00:00,64.5,G
15839,2024-01-26T20:00:00,63.9,G
15866,2024-01-26T21:00:00,64.4,G
15893,2024-01-26T22:00:00,65.2,G
15920,2024-01-26T23:00:00,66.7,G
15947,2024-01-27T00:00:00,67.6,G
15974,2024-01-27T01:00:00,65.6,G
16001,2024-01-27T02:00:00,65.9,G
16028,2024-01-27T03:00:00,67.0,G
16055,2024-01-27T04:00:00,68.2,G
16082,2024-01-27T05:00:00,70.6,G
16109,2024-01-27T06:00:00,72.3,G
16136,2024-01-27T07:00:00,74.0,G
16163,2024-01-27T08:00:00,74.0,G
16190,2024-01-27T09:00:00,73.2,G
16217,2024-01-27T10:00:00,73.0,G
16244,2024-01-27T11:00:00,72.8,G
16271,2024-01-27T12:00:00,71.4,G
16298,2024-01-27T13:00:00,70.7,G
16325,2024-01-27T14:00:00,68.8,G
16352,2024-01-27T15:00:00,66.5,G
16379,2024-01-27T16:00:00,67.2,G
16406,2024-01-27T17:00:00,68.4,G
16433,2024-01-27T18:00:00,69.4,G
16460,2024-01-27T19:00:00,71.0,G
16487,2024-01-27T20:00:00,71.2,G
16514,2024-01-27T21:00:00,72.6,G
16541,2024-01-27T22:00:00,79.8,G
16568,2024-01-27T23:00:00,86.0,G
16595,2024-01-28T00:00:00,87.8,G
16622,2024-01-28T01:00:00,89.2,G
16649,2024-01-28T02:00:00,89.1,G
16676,2024-01-28T03:00:00,90.6,G
16703,2024-01-28T04:00:00,92.0,G
16730,2024-01-28T05:00:00,91.4,G
16757,2024-01-28T06:00:00,90.5,G
16784,2024-01-28T07:00:00,91.0,G
16811,2024-01-28T08:00:00,91.3,G
16838,2024-01-28T09:00:00,92.5,G
16865,2024-01-28T10:00:00,92.9,G
16892,2024-01-28T11:00:00,91.5,G
16919,2024-01-28T12:00:00,89.2,G
16946,2024-01-28T13:00:00,87.2,G
16973,2024-01-28T14:00:00,85.5,G
17000,2024-01-28T15:00:00,83.8,G
17027,2024-01-28T16:00:00,83.4,G
17054,2024-01-28T17:00:00,82.8,G
17081,2024-01-28T18:00:00,82.5,G
17108,2024-01-28T19:00:00,83.7,G
17135,2024-01-28T20:00:00,84.8,G
17162,2024-01-28T21:00:00,85.3,G
17189,2024-01-28T22:00:00,85.5,G
17216,2024-01-28T23:00:00,86.8,G
17243,2024-01-29T00:00:00,87.0,G
17270,2024-01-29T01:00:00,88.0,G
17297,2024-01-29T02:00:00,88.0,G
17324,2024-01-29T03:00:00,89.0,G
17351,2024-01-29T04:00:00,89.3,G
17378,2024-01-29T05:00:00,89.6,G
17405,2024-01-29T06:00:00,90.7,G
17432,2024-01-29T07:00:00,91.2,G
17459,2024-01-29T08:00:00,92.0,G
17486,2024-01-29T09:00:00,91.8,G
17513,2024-01-29T10:00:00,91.8,G
17540,2024-01-29T11:00:00,90.0,G
17568,2024-01-29T12:00:00,88.2,G
17596,2024-01-29T13:00:00,87.2,G
17625,2024-01-29T14:00:00,83.7,G
17653,2024-01-29T15:00:00,82.6,G
17680,2024-01-29T16:00:00,82.3,G
17707,2024-01-29T17:00:00,83.0,G
17734,2024-01-29T18:00:00,83.8,G
17761,2024-01-29T19:00:00,84.8,G
17788,2024-01-29T20:00:00,85.0,G
17815,2024-01-29T21:00:00,85.0,G
17842,2024-01-29T22:00:00,85.5,G
17869,2024-01-29T23:00:00,86.6,G
17896,2024-01-30T00:00:00,87.5,G
17924,2024-01-30T01:00:00,89.2,G
17952,2024-01-30T02:00:00,90.9,G
17980,2024-01-30T03:00:00,91.5,G
18008,2024-01-30T04:00:00,92.0,G
18036,2024-01-30T05:00:00,92.0,G
18064,2024-01-30T06:00:00,92.0,G
18092,2024-01-30T07:00:00,92.6,G
18120,2024-01-30T08:00:00,93.8,G
18148,2024-01-30T09:00:00,93.5,G
18176,2024-01-30T10:00:00,93.0,G
18204,2024-01-30T11:00:00,91.9,G
18232,2024-01-30T12:00:00,91.0,G
18260,2024-01-30T13:00:00,90.3,G
18288,2024-01-30T14:00:00,89.7,G
18316,2024-01-30T15:00:00,89.3,G
18344,2024-01-30T16:00:00,90.3,G
18371,2024-01-30T17:00:00,91.1,G
18398,2024-01-30T18:00:00,92.8,G
18425,2024-01-30T19:00:00,94.7,G
18452,2024-01-30T20:00:00,95.7,G
18479,2024-01-30T21:00:00,95.0,G
18506,2024-01-30T22:00:00,95.0,G
18533,2024-01-30T23:00:00,94.8,G
18560,2024-01-31T00:00:00,94.0,G
18587,2024-01-31T01:00:00,94.0,G
18614,2024-01-31T02:00:00,94.0,G
18641,2024-01-31T03:00:00,94.7,G
18667,2024-01-31T04:00:00,95.3,G
18693,2024-01-31T05:00:00,96.1,G
18719,2024-01-31T06:00:00,97.0,G
18745,2024-01-31T07:00:00,97.0,G
18770,2024-01-31T08:00:00,97.1,G
18795,2024-01-31T09:00:00,97.5,G
18820,2024-01-31T10:00:00,97.0,G
18845,2024-01-31T11:00:00,97.2,G
18870,2024-01-31T12:00:00,96.1,G
18895,2024-01-31T13:00:00,95.0,G
18921,2024-01-31T14:00:00,95.0,G
18947,2024-01-31T15:00:00,94.0,G
18974,2024-01-31T16:00:00,93.5,G
19001,2024-01-31T17:00:00,94.0,G
19028,2024-01-31T18:00:00,94.7,G
19054,2024-01-31T19:00:00,95.0,G
19080,2024-01-31T20:00:00,95.9,G
19106,2024-01-31T21:00:00,96.0,G
19132,2024-01-31T22:00:00,96.6,G
19158,2024-01-31T23:00:00,97.0,G
19184,2024-02-01T00:00:00,97.0,G
19210,2024-02-01T01:00:00,97.0,G
19236,2024-02-01T02:00:00,97.8,G
19262,2024-02-01T03:00:00,98.0,G
19287,2024-02-01T04:00:00,97.8,G
19312,2024-02-01T05:00:00,97.0,G
19337,2024-02-01T06:00:00,97.0,G
19363,2024-02-01T07:00:00,97.0,G
19389,2024-02-01T08:00:00,97.0,G
19415,2024-02-01T09:00:00,97.0,G
19441,2024-02-01T10:00:00,95.8,G
19467,2024-02-01T11:00:00,94.2,G
19493,2024-02-01T12:00:00,91.3,G
19520,2024-02-01T13:00:00,87.8,G
19547,2024-02-01T14:00:00,83.6,G
19574,2024-02-01T15:00:00,81.3,G
19601,2024-02-01T16:00:00,83.5,G
19628,2024-02-01T17:00:00,87.6,G
19655,2024-02-01T18:00:00,89.2,G
19682,2024-02-01T19:00:00,92.1,G
19709,2024-02-01T20:00:00,94.2,G
19736,2024-02-01T21:00:00,95.4,G
19763,2024-02-01T22:00:00,96.0,G
19790,2024-02-01T23:00:00,95.8,G
19817,2024-02-02T00:00:00,96.2,G
19844,2024-02-02T01:00:00,94.9,G
19871,2024-02-02T02:00:00,94.4,G
19898,2024-02-02T03:00:00,94.0,G
19925,2024-02-02T04:00:00,94.9,G
19952,2024-02-02T05:00:00,95.0,G
19979,2024-02-02T06:00:00,95.3,G
20006,2024-02-02T07:00:00,95.9,G
20033,2024-02-02T08:00:00,94.6,G
20060,2024-02-02T09:00:00,91.8,G
20088,2024-02-02T10:00:00,87.4,G
20116,2024-02-02T11:00:00,83.0,G
20144,2024-02-02T12:00:00,78.2,G
20172,2024-02-02T13:00:00,77.3,G
20200,2024-02-02T14:00:00,75.5,G
20228,2024-02-02T15:00:00,72.6,G
20257,2024-02-02T16:00:00,80.6,G
20285,2024-02-02T17:00:00,87.4,G
20313,2024-02-02T18:00:00,87.7,G
20341,2024-02-02T19:00:00,92.6,G
20369,2024-02-02T20:00:00,95.7,G
20397,2024-02-02T21:00:00,96.8,G
20425,2024-02-02T22:00:00,96.9,G
20453,2024-02-02T23:00:00,96.5,G
20481,2024-02-03T00:00:00,96.7,G
20509,2024-02-03T01:00:00,97.5,G
20537,2024-02-03T02:00:00,98.0,G
20565,2024-02-03T03:00:00,98.0,G
20593,2024-02-03T04:00:00,98.0,G
20621,2024-02-03T05:00:00,97.3,G
20649,2024-02-03T06:00:00,96.0,G
20677,2024-02-03T07:00:00,95.9,G
20705,2024-02-03T08:00:00,95.0,G
20733,2024-02-03T09:00:00,94.3,G
20761,2024-02-03T10:00:00,93.4,G
20789,2024-02-03T11:00:00,91.0,G
20817,2024-02-03T12:00:00,89.3,G
20845,2024-02-03T13:00:00,88.0,G
20873,2024-02-03T14:00:00,86.6,G
20901,2024-02-03T15:00:00,86.0,G
20929,2024-02-03T16:00:00,85.0,G
20957,2024-02-03T17:00:00,85.5,G
20985,2024-02-03T18:00:00,86.4,G
21013,2024-02-03T19:00:00,87.0,G
21041,2024-02-03T20:00:00,87.5,G
21069,2024-02-03T21:00:00,87.2,G
21097,2024-02-03T22:00:00,87.0,G
21125,2024-02-03T23:00:00,87.9,G
21153,2024-02-04T00:00:00,88.4,G
21181,2024-02-04T01:00:00,90.7,G
21209,2024-02-04T02:00:00,93.7,G
21237,2024-02-04T03:00:00,94.2,G
21265,2024-02-04T04:00:00,95.2,G
21293,2024-02-04T05:00:00,96.3,G
21321,2024-02-04T06:00:00,96.9,G
21349,2024-02-04T07:00:00,97.0,G
21377,2024-02-04T08:00:00,96.7,G
21405,2024-02-04T09:00:00,96.9,G
21433,2024-02-04T10:00:00,95.9,G
21461,2024-02-04T11:00:00,95.2,G
21488,2024-02-04T12:00:00,94.2,G
21515,2024-02-04T13:00:00,93.3,G
21542,2024-02-04T14:00:00,92.9,G
21569,2024-02-04T15:00:00,91.6,G
21596,2024-02-04T16:00:00,92.2,G
21623,2024-02-04T17:00:00,93.0,G
21650,2024-02-04T18:00:00,93.0,G
21677,2024-02-04T19:00:00,93.5,G
21704,2024-02-04T20:00:00,94.2,G
21731,2024-02-04T21:00:00,94.9,G
21758,2024-02-04T22:00:00,95.0,G
21785,2024-02-04T23:00:00,95.0,G
21812,2024-02-05T00:00:00,95.5,G
21839,2024-02-05T01:00:00,96.0,G
21866,2024-02-05T02:00:00,96.0,G
21893,2024-02-05T03:00:00,96.8,G
21920,2024-02-05T04:00:00,97.0,G
21947,2024-02-05T05:00:00,97.0,G
21974,2024-02-05T06:00:00,97.0,G
22001,2024-02-05T07:00:00,97.0,G
22028,2024-02-05T08:00:00,96.9,G
22055,2024-02-05T09:00:00,95.1,G
22083,2024-02-05T10:00:00,94.9,G
22111,2024-02-05T11:00:00,94.0,G
22139,2024-02-05T12:00:00,92.5,G
22167,2024-02-05T13:00:00,89.2,G
22195,2024-02-05T14:00:00,85.0,G
22223,2024-02-05T15:00:00,84.3,G
22251,2024-02-05T16:00:00,82.7,G
22280,2024-02-05T17:00:00,82.5,G
22309,2024-02-05T18:00:00,83.3,G
22338,2024-02-05T19:00:00,86.0,G
22367,2024-02-05T20:00:00,88.7,G
